index,image_path,image_index,speed
11632,../Mini Project/data/clean_data/train_imgs/11632.jpg,11632,7.2126
1306,../Mini Project/data/clean_data/train_imgs/1306.jpg,1306,13.982058
1307,../Mini Project/data/clean_data/train_imgs/1307.jpg,1307,13.9691
9832,../Mini Project/data/clean_data/train_imgs/9832.jpg,9832,7.515233
9833,../Mini Project/data/clean_data/train_imgs/9833.jpg,9833,7.525989
14089,../Mini Project/data/clean_data/train_imgs/14089.jpg,14089,3.157405
14090,../Mini Project/data/clean_data/train_imgs/14090.jpg,14090,3.083209
19431,../Mini Project/data/clean_data/train_imgs/19431.jpg,19431,1.998709
19432,../Mini Project/data/clean_data/train_imgs/19432.jpg,19432,2.00498
3428,../Mini Project/data/clean_data/train_imgs/3428.jpg,3428,22.095466
3429,../Mini Project/data/clean_data/train_imgs/3429.jpg,3429,22.092177
15269,../Mini Project/data/clean_data/train_imgs/15269.jpg,15269,12.570281
15270,../Mini Project/data/clean_data/train_imgs/15270.jpg,15270,12.54183
10835,../Mini Project/data/clean_data/train_imgs/10835.jpg,10835,5.86067
10836,../Mini Project/data/clean_data/train_imgs/10836.jpg,10836,5.79734
17032,../Mini Project/data/clean_data/train_imgs/17032.jpg,17032,1.673728
17033,../Mini Project/data/clean_data/train_imgs/17033.jpg,17033,1.631899
12042,../Mini Project/data/clean_data/train_imgs/12042.jpg,12042,6.6504850000000015
12043,../Mini Project/data/clean_data/train_imgs/12043.jpg,12043,6.756855000000002
1679,../Mini Project/data/clean_data/train_imgs/1679.jpg,1679,18.54567
1680,../Mini Project/data/clean_data/train_imgs/1680.jpg,1680,18.592365
4039,../Mini Project/data/clean_data/train_imgs/4039.jpg,4039,21.597353
4040,../Mini Project/data/clean_data/train_imgs/4040.jpg,4040,21.577636
14922,../Mini Project/data/clean_data/train_imgs/14922.jpg,14922,14.103996
14923,../Mini Project/data/clean_data/train_imgs/14923.jpg,14923,14.122085
5848,../Mini Project/data/clean_data/train_imgs/5848.jpg,5848,18.344829
5849,../Mini Project/data/clean_data/train_imgs/5849.jpg,5849,18.311679
4791,../Mini Project/data/clean_data/train_imgs/4791.jpg,4791,22.442419
4792,../Mini Project/data/clean_data/train_imgs/4792.jpg,4792,22.458157
13681,../Mini Project/data/clean_data/train_imgs/13681.jpg,13681,7.059792
13682,../Mini Project/data/clean_data/train_imgs/13682.jpg,13682,7.150356
16376,../Mini Project/data/clean_data/train_imgs/16376.jpg,16376,5.962288
16377,../Mini Project/data/clean_data/train_imgs/16377.jpg,16377,5.8549430000000005
18182,../Mini Project/data/clean_data/train_imgs/18182.jpg,18182,1.507045
18183,../Mini Project/data/clean_data/train_imgs/18183.jpg,18183,1.529211
4059,../Mini Project/data/clean_data/train_imgs/4059.jpg,4059,21.455159
4060,../Mini Project/data/clean_data/train_imgs/4060.jpg,4060,21.445278
6221,../Mini Project/data/clean_data/train_imgs/6221.jpg,6221,11.882624
6222,../Mini Project/data/clean_data/train_imgs/6222.jpg,6222,11.947981
7500,../Mini Project/data/clean_data/train_imgs/7500.jpg,7500,22.501655
7501,../Mini Project/data/clean_data/train_imgs/7501.jpg,7501,22.44654
12820,../Mini Project/data/clean_data/train_imgs/12820.jpg,12820,8.042502
12821,../Mini Project/data/clean_data/train_imgs/12821.jpg,12821,7.998019999999999
3885,../Mini Project/data/clean_data/train_imgs/3885.jpg,3885,21.384779
3886,../Mini Project/data/clean_data/train_imgs/3886.jpg,3886,21.370614
6713,../Mini Project/data/clean_data/train_imgs/6713.jpg,6713,17.585573999999998
6714,../Mini Project/data/clean_data/train_imgs/6714.jpg,6714,17.541311999999998
11274,../Mini Project/data/clean_data/train_imgs/11274.jpg,11274,4.943592
11275,../Mini Project/data/clean_data/train_imgs/11275.jpg,11275,4.8724300000000005
16252,../Mini Project/data/clean_data/train_imgs/16252.jpg,16252,12.410403
16253,../Mini Project/data/clean_data/train_imgs/16253.jpg,16253,12.334225
17273,../Mini Project/data/clean_data/train_imgs/17273.jpg,17273,7.820593
17274,../Mini Project/data/clean_data/train_imgs/17274.jpg,17274,7.8239740000000015
15836,../Mini Project/data/clean_data/train_imgs/15836.jpg,15836,0.0
15837,../Mini Project/data/clean_data/train_imgs/15837.jpg,15837,0.0
15553,../Mini Project/data/clean_data/train_imgs/15553.jpg,15553,1.788539
15554,../Mini Project/data/clean_data/train_imgs/15554.jpg,15554,1.776793
7740,../Mini Project/data/clean_data/train_imgs/7740.jpg,7740,24.672987
7741,../Mini Project/data/clean_data/train_imgs/7741.jpg,7741,24.677216
19794,../Mini Project/data/clean_data/train_imgs/19794.jpg,19794,3.642297
19795,../Mini Project/data/clean_data/train_imgs/19795.jpg,19795,3.624505
2178,../Mini Project/data/clean_data/train_imgs/2178.jpg,2178,23.715195
2179,../Mini Project/data/clean_data/train_imgs/2179.jpg,2179,23.728034
14951,../Mini Project/data/clean_data/train_imgs/14951.jpg,14951,14.370870000000002
14952,../Mini Project/data/clean_data/train_imgs/14952.jpg,14952,14.353705
7862,../Mini Project/data/clean_data/train_imgs/7862.jpg,7862,24.226401
7863,../Mini Project/data/clean_data/train_imgs/7863.jpg,7863,24.224547
14825,../Mini Project/data/clean_data/train_imgs/14825.jpg,14825,7.878610000000001
14826,../Mini Project/data/clean_data/train_imgs/14826.jpg,14826,7.976186
18902,../Mini Project/data/clean_data/train_imgs/18902.jpg,18902,1.41482
18903,../Mini Project/data/clean_data/train_imgs/18903.jpg,18903,1.454748
15042,../Mini Project/data/clean_data/train_imgs/15042.jpg,15042,14.153757999999998
15043,../Mini Project/data/clean_data/train_imgs/15043.jpg,15043,14.142816
16359,../Mini Project/data/clean_data/train_imgs/16359.jpg,16359,7.247047999999999
16360,../Mini Project/data/clean_data/train_imgs/16360.jpg,16360,7.273898
13713,../Mini Project/data/clean_data/train_imgs/13713.jpg,13713,8.714558
13714,../Mini Project/data/clean_data/train_imgs/13714.jpg,13714,8.735056
20,../Mini Project/data/clean_data/train_imgs/20.jpg,20,27.850634000000003
21,../Mini Project/data/clean_data/train_imgs/21.jpg,21,27.839349
2033,../Mini Project/data/clean_data/train_imgs/2033.jpg,2033,23.13157
2034,../Mini Project/data/clean_data/train_imgs/2034.jpg,2034,23.109822
16567,../Mini Project/data/clean_data/train_imgs/16567.jpg,16567,3.642955
16568,../Mini Project/data/clean_data/train_imgs/16568.jpg,16568,3.5809370000000005
20024,../Mini Project/data/clean_data/train_imgs/20024.jpg,20024,10.480083
20025,../Mini Project/data/clean_data/train_imgs/20025.jpg,20025,10.499107
8597,../Mini Project/data/clean_data/train_imgs/8597.jpg,8597,13.362216
8598,../Mini Project/data/clean_data/train_imgs/8598.jpg,8598,13.368301999999998
505,../Mini Project/data/clean_data/train_imgs/505.jpg,505,16.556675
506,../Mini Project/data/clean_data/train_imgs/506.jpg,506,16.538771
11476,../Mini Project/data/clean_data/train_imgs/11476.jpg,11476,3.270988
11477,../Mini Project/data/clean_data/train_imgs/11477.jpg,11477,3.4702
3718,../Mini Project/data/clean_data/train_imgs/3718.jpg,3718,22.097462
3719,../Mini Project/data/clean_data/train_imgs/3719.jpg,3719,22.055398
696,../Mini Project/data/clean_data/train_imgs/696.jpg,696,19.758959
697,../Mini Project/data/clean_data/train_imgs/697.jpg,697,19.868049
15247,../Mini Project/data/clean_data/train_imgs/15247.jpg,15247,12.576205
15248,../Mini Project/data/clean_data/train_imgs/15248.jpg,15248,12.581969
8642,../Mini Project/data/clean_data/train_imgs/8642.jpg,8642,11.739436
8643,../Mini Project/data/clean_data/train_imgs/8643.jpg,8643,11.789736
18852,../Mini Project/data/clean_data/train_imgs/18852.jpg,18852,0.0
18853,../Mini Project/data/clean_data/train_imgs/18853.jpg,18853,0.0
12365,../Mini Project/data/clean_data/train_imgs/12365.jpg,12365,8.457106
12366,../Mini Project/data/clean_data/train_imgs/12366.jpg,12366,8.548786999999999
19121,../Mini Project/data/clean_data/train_imgs/19121.jpg,19121,10.873756
19122,../Mini Project/data/clean_data/train_imgs/19122.jpg,19122,10.889011
1485,../Mini Project/data/clean_data/train_imgs/1485.jpg,1485,15.646528
1486,../Mini Project/data/clean_data/train_imgs/1486.jpg,1486,15.645347
5582,../Mini Project/data/clean_data/train_imgs/5582.jpg,5582,23.218194
5583,../Mini Project/data/clean_data/train_imgs/5583.jpg,5583,23.244319
12188,../Mini Project/data/clean_data/train_imgs/12188.jpg,12188,7.441814
12189,../Mini Project/data/clean_data/train_imgs/12189.jpg,12189,7.3241619999999985
15310,../Mini Project/data/clean_data/train_imgs/15310.jpg,15310,11.757565
15311,../Mini Project/data/clean_data/train_imgs/15311.jpg,15311,11.708201
4509,../Mini Project/data/clean_data/train_imgs/4509.jpg,4509,21.937581
4510,../Mini Project/data/clean_data/train_imgs/4510.jpg,4510,21.977126
17227,../Mini Project/data/clean_data/train_imgs/17227.jpg,17227,6.420256
17228,../Mini Project/data/clean_data/train_imgs/17228.jpg,17228,6.356207
13237,../Mini Project/data/clean_data/train_imgs/13237.jpg,13237,7.952896000000001
13238,../Mini Project/data/clean_data/train_imgs/13238.jpg,13238,7.952578
10882,../Mini Project/data/clean_data/train_imgs/10882.jpg,10882,3.838473000000001
10883,../Mini Project/data/clean_data/train_imgs/10883.jpg,10883,3.843629
5168,../Mini Project/data/clean_data/train_imgs/5168.jpg,5168,22.724725
5169,../Mini Project/data/clean_data/train_imgs/5169.jpg,5169,22.737402
8445,../Mini Project/data/clean_data/train_imgs/8445.jpg,8445,20.276661
8446,../Mini Project/data/clean_data/train_imgs/8446.jpg,8446,20.198315
15058,../Mini Project/data/clean_data/train_imgs/15058.jpg,15058,14.198212
15059,../Mini Project/data/clean_data/train_imgs/15059.jpg,15059,14.22252
17436,../Mini Project/data/clean_data/train_imgs/17436.jpg,17436,14.062037
17437,../Mini Project/data/clean_data/train_imgs/17437.jpg,17437,14.055272
13448,../Mini Project/data/clean_data/train_imgs/13448.jpg,13448,0.0
13449,../Mini Project/data/clean_data/train_imgs/13449.jpg,13449,0.0
5716,../Mini Project/data/clean_data/train_imgs/5716.jpg,5716,22.537304
5717,../Mini Project/data/clean_data/train_imgs/5717.jpg,5717,22.557648
16975,../Mini Project/data/clean_data/train_imgs/16975.jpg,16975,1.807048
16976,../Mini Project/data/clean_data/train_imgs/16976.jpg,16976,1.807476
17216,../Mini Project/data/clean_data/train_imgs/17216.jpg,17216,4.847692
17217,../Mini Project/data/clean_data/train_imgs/17217.jpg,17217,4.984738
9329,../Mini Project/data/clean_data/train_imgs/9329.jpg,9329,1.000028
9330,../Mini Project/data/clean_data/train_imgs/9330.jpg,9330,0.970263
1694,../Mini Project/data/clean_data/train_imgs/1694.jpg,1694,18.874912
1695,../Mini Project/data/clean_data/train_imgs/1695.jpg,1695,18.853364000000006
10906,../Mini Project/data/clean_data/train_imgs/10906.jpg,10906,4.033459
10907,../Mini Project/data/clean_data/train_imgs/10907.jpg,10907,4.009282
8583,../Mini Project/data/clean_data/train_imgs/8583.jpg,8583,13.23264
8584,../Mini Project/data/clean_data/train_imgs/8584.jpg,8584,13.244626
17839,../Mini Project/data/clean_data/train_imgs/17839.jpg,17839,2.231648
17840,../Mini Project/data/clean_data/train_imgs/17840.jpg,17840,2.064219
20211,../Mini Project/data/clean_data/train_imgs/20211.jpg,20211,7.126191
20212,../Mini Project/data/clean_data/train_imgs/20212.jpg,20212,7.083975
6035,../Mini Project/data/clean_data/train_imgs/6035.jpg,6035,12.075839
6036,../Mini Project/data/clean_data/train_imgs/6036.jpg,6036,12.047041
11987,../Mini Project/data/clean_data/train_imgs/11987.jpg,11987,6.696464
11988,../Mini Project/data/clean_data/train_imgs/11988.jpg,11988,6.663745
16241,../Mini Project/data/clean_data/train_imgs/16241.jpg,16241,12.865877
16242,../Mini Project/data/clean_data/train_imgs/16242.jpg,16242,12.896254
10656,../Mini Project/data/clean_data/train_imgs/10656.jpg,10656,0.5625760000000001
10657,../Mini Project/data/clean_data/train_imgs/10657.jpg,10657,0.55777
11992,../Mini Project/data/clean_data/train_imgs/11992.jpg,11992,6.550164
11993,../Mini Project/data/clean_data/train_imgs/11993.jpg,11993,6.494058
15548,../Mini Project/data/clean_data/train_imgs/15548.jpg,15548,1.802565
15549,../Mini Project/data/clean_data/train_imgs/15549.jpg,15549,1.809081
8337,../Mini Project/data/clean_data/train_imgs/8337.jpg,8337,24.445299
8338,../Mini Project/data/clean_data/train_imgs/8338.jpg,8338,24.443801
17571,../Mini Project/data/clean_data/train_imgs/17571.jpg,17571,14.571859
17572,../Mini Project/data/clean_data/train_imgs/17572.jpg,17572,14.556394
14118,../Mini Project/data/clean_data/train_imgs/14118.jpg,14118,2.708654
14119,../Mini Project/data/clean_data/train_imgs/14119.jpg,14119,2.7552220000000003
6602,../Mini Project/data/clean_data/train_imgs/6602.jpg,6602,17.458423
6603,../Mini Project/data/clean_data/train_imgs/6603.jpg,6603,17.442356
5785,../Mini Project/data/clean_data/train_imgs/5785.jpg,5785,20.458381
5786,../Mini Project/data/clean_data/train_imgs/5786.jpg,5786,20.447932
690,../Mini Project/data/clean_data/train_imgs/690.jpg,690,19.508945
691,../Mini Project/data/clean_data/train_imgs/691.jpg,691,19.542924
13654,../Mini Project/data/clean_data/train_imgs/13654.jpg,13654,5.197524
13655,../Mini Project/data/clean_data/train_imgs/13655.jpg,13655,5.316299
14089,../Mini Project/data/clean_data/train_imgs/14089.jpg,14089,3.157405
14090,../Mini Project/data/clean_data/train_imgs/14090.jpg,14090,3.083209
18555,../Mini Project/data/clean_data/train_imgs/18555.jpg,18555,1.7420790000000002
18556,../Mini Project/data/clean_data/train_imgs/18556.jpg,18556,1.653595
11534,../Mini Project/data/clean_data/train_imgs/11534.jpg,11534,4.898921
11535,../Mini Project/data/clean_data/train_imgs/11535.jpg,11535,4.907787
3605,../Mini Project/data/clean_data/train_imgs/3605.jpg,3605,21.662681
3606,../Mini Project/data/clean_data/train_imgs/3606.jpg,3606,21.663837
10072,../Mini Project/data/clean_data/train_imgs/10072.jpg,10072,6.629632000000001
10073,../Mini Project/data/clean_data/train_imgs/10073.jpg,10073,6.639482000000001
12206,../Mini Project/data/clean_data/train_imgs/12206.jpg,12206,6.021527
12207,../Mini Project/data/clean_data/train_imgs/12207.jpg,12207,5.972496
15311,../Mini Project/data/clean_data/train_imgs/15311.jpg,15311,11.708201
15312,../Mini Project/data/clean_data/train_imgs/15312.jpg,15312,11.712799
16527,../Mini Project/data/clean_data/train_imgs/16527.jpg,16527,3.0950290000000003
16528,../Mini Project/data/clean_data/train_imgs/16528.jpg,16528,3.196187
11988,../Mini Project/data/clean_data/train_imgs/11988.jpg,11988,6.663745
11989,../Mini Project/data/clean_data/train_imgs/11989.jpg,11989,6.634089
7125,../Mini Project/data/clean_data/train_imgs/7125.jpg,7125,19.331225
7126,../Mini Project/data/clean_data/train_imgs/7126.jpg,7126,19.401286
1580,../Mini Project/data/clean_data/train_imgs/1580.jpg,1580,17.150451999999998
1581,../Mini Project/data/clean_data/train_imgs/1581.jpg,1581,17.201632
14811,../Mini Project/data/clean_data/train_imgs/14811.jpg,14811,6.746599000000002
14812,../Mini Project/data/clean_data/train_imgs/14812.jpg,14812,6.696388000000002
4472,../Mini Project/data/clean_data/train_imgs/4472.jpg,4472,21.7959
4473,../Mini Project/data/clean_data/train_imgs/4473.jpg,4473,21.793656
18380,../Mini Project/data/clean_data/train_imgs/18380.jpg,18380,11.765532
18381,../Mini Project/data/clean_data/train_imgs/18381.jpg,18381,11.745568
4823,../Mini Project/data/clean_data/train_imgs/4823.jpg,4823,22.553848
4824,../Mini Project/data/clean_data/train_imgs/4824.jpg,4824,22.575069
3115,../Mini Project/data/clean_data/train_imgs/3115.jpg,3115,22.164657
3116,../Mini Project/data/clean_data/train_imgs/3116.jpg,3116,22.145174
4978,../Mini Project/data/clean_data/train_imgs/4978.jpg,4978,22.15769
4979,../Mini Project/data/clean_data/train_imgs/4979.jpg,4979,22.207098
9819,../Mini Project/data/clean_data/train_imgs/9819.jpg,9819,7.891489
9820,../Mini Project/data/clean_data/train_imgs/9820.jpg,9820,7.847449
10657,../Mini Project/data/clean_data/train_imgs/10657.jpg,10657,0.55777
10658,../Mini Project/data/clean_data/train_imgs/10658.jpg,10658,0.559678
12984,../Mini Project/data/clean_data/train_imgs/12984.jpg,12984,5.868323
12985,../Mini Project/data/clean_data/train_imgs/12985.jpg,12985,5.850887
7753,../Mini Project/data/clean_data/train_imgs/7753.jpg,7753,24.647723000000006
7754,../Mini Project/data/clean_data/train_imgs/7754.jpg,7754,24.632129
601,../Mini Project/data/clean_data/train_imgs/601.jpg,601,17.381335999999994
602,../Mini Project/data/clean_data/train_imgs/602.jpg,602,17.377883999999998
10578,../Mini Project/data/clean_data/train_imgs/10578.jpg,10578,3.674916000000001
10579,../Mini Project/data/clean_data/train_imgs/10579.jpg,10579,3.716575
4064,../Mini Project/data/clean_data/train_imgs/4064.jpg,4064,21.411394
4065,../Mini Project/data/clean_data/train_imgs/4065.jpg,4065,21.406813
8020,../Mini Project/data/clean_data/train_imgs/8020.jpg,8020,22.728943
8021,../Mini Project/data/clean_data/train_imgs/8021.jpg,8021,22.736053
15207,../Mini Project/data/clean_data/train_imgs/15207.jpg,15207,12.663126
15208,../Mini Project/data/clean_data/train_imgs/15208.jpg,15208,12.690391
17558,../Mini Project/data/clean_data/train_imgs/17558.jpg,17558,14.534676
17559,../Mini Project/data/clean_data/train_imgs/17559.jpg,17559,14.531559
13955,../Mini Project/data/clean_data/train_imgs/13955.jpg,13955,7.880109
13956,../Mini Project/data/clean_data/train_imgs/13956.jpg,13956,7.864028999999999
18662,../Mini Project/data/clean_data/train_imgs/18662.jpg,18662,0.0
18663,../Mini Project/data/clean_data/train_imgs/18663.jpg,18663,0.0
1200,../Mini Project/data/clean_data/train_imgs/1200.jpg,1200,15.773634
1201,../Mini Project/data/clean_data/train_imgs/1201.jpg,1201,15.776359
19620,../Mini Project/data/clean_data/train_imgs/19620.jpg,19620,0.5805560000000001
19621,../Mini Project/data/clean_data/train_imgs/19621.jpg,19621,0.583673
15766,../Mini Project/data/clean_data/train_imgs/15766.jpg,15766,0.749078
15767,../Mini Project/data/clean_data/train_imgs/15767.jpg,15767,0.722091
7802,../Mini Project/data/clean_data/train_imgs/7802.jpg,7802,24.47502
7803,../Mini Project/data/clean_data/train_imgs/7803.jpg,7803,24.464972
11754,../Mini Project/data/clean_data/train_imgs/11754.jpg,11754,7.007061
11755,../Mini Project/data/clean_data/train_imgs/11755.jpg,11755,6.94906
2953,../Mini Project/data/clean_data/train_imgs/2953.jpg,2953,22.571329
2954,../Mini Project/data/clean_data/train_imgs/2954.jpg,2954,22.557845
19190,../Mini Project/data/clean_data/train_imgs/19190.jpg,19190,9.642474
19191,../Mini Project/data/clean_data/train_imgs/19191.jpg,19191,9.623587
15092,../Mini Project/data/clean_data/train_imgs/15092.jpg,15092,13.252378
15093,../Mini Project/data/clean_data/train_imgs/15093.jpg,15093,13.207856
16489,../Mini Project/data/clean_data/train_imgs/16489.jpg,16489,1.690357
16490,../Mini Project/data/clean_data/train_imgs/16490.jpg,16490,1.705438
5278,../Mini Project/data/clean_data/train_imgs/5278.jpg,5278,23.384019
5279,../Mini Project/data/clean_data/train_imgs/5279.jpg,5279,23.384893
8121,../Mini Project/data/clean_data/train_imgs/8121.jpg,8121,25.223894
8122,../Mini Project/data/clean_data/train_imgs/8122.jpg,8122,25.270846
10333,../Mini Project/data/clean_data/train_imgs/10333.jpg,10333,6.412264
10334,../Mini Project/data/clean_data/train_imgs/10334.jpg,10334,6.3486410000000015
12909,../Mini Project/data/clean_data/train_imgs/12909.jpg,12909,3.07532
12910,../Mini Project/data/clean_data/train_imgs/12910.jpg,12910,2.994827
19227,../Mini Project/data/clean_data/train_imgs/19227.jpg,19227,8.192039999999999
19228,../Mini Project/data/clean_data/train_imgs/19228.jpg,19228,8.160293
13737,../Mini Project/data/clean_data/train_imgs/13737.jpg,13737,9.774665
13738,../Mini Project/data/clean_data/train_imgs/13738.jpg,13738,9.785153
6884,../Mini Project/data/clean_data/train_imgs/6884.jpg,6884,11.772407
6885,../Mini Project/data/clean_data/train_imgs/6885.jpg,6885,11.754396
5138,../Mini Project/data/clean_data/train_imgs/5138.jpg,5138,22.641413
5139,../Mini Project/data/clean_data/train_imgs/5139.jpg,5139,22.651449
7078,../Mini Project/data/clean_data/train_imgs/7078.jpg,7078,18.389058
7079,../Mini Project/data/clean_data/train_imgs/7079.jpg,7079,18.417985
2547,../Mini Project/data/clean_data/train_imgs/2547.jpg,2547,25.386787
2548,../Mini Project/data/clean_data/train_imgs/2548.jpg,2548,25.382414
7528,../Mini Project/data/clean_data/train_imgs/7528.jpg,7528,23.555536
7529,../Mini Project/data/clean_data/train_imgs/7529.jpg,7529,23.521032
4890,../Mini Project/data/clean_data/train_imgs/4890.jpg,4890,22.51293
4891,../Mini Project/data/clean_data/train_imgs/4891.jpg,4891,22.502062
17978,../Mini Project/data/clean_data/train_imgs/17978.jpg,17978,0.5722
17979,../Mini Project/data/clean_data/train_imgs/17979.jpg,17979,0.6044109999999999
6108,../Mini Project/data/clean_data/train_imgs/6108.jpg,6108,11.79333
6109,../Mini Project/data/clean_data/train_imgs/6109.jpg,6109,11.819258
2566,../Mini Project/data/clean_data/train_imgs/2566.jpg,2566,25.330662
2567,../Mini Project/data/clean_data/train_imgs/2567.jpg,2567,25.330722
3726,../Mini Project/data/clean_data/train_imgs/3726.jpg,3726,21.943072
3727,../Mini Project/data/clean_data/train_imgs/3727.jpg,3727,21.947906
18635,../Mini Project/data/clean_data/train_imgs/18635.jpg,18635,0.0
18636,../Mini Project/data/clean_data/train_imgs/18636.jpg,18636,0.0
11967,../Mini Project/data/clean_data/train_imgs/11967.jpg,11967,6.970174
11968,../Mini Project/data/clean_data/train_imgs/11968.jpg,11968,6.834422
20118,../Mini Project/data/clean_data/train_imgs/20118.jpg,20118,7.2092100000000015
20119,../Mini Project/data/clean_data/train_imgs/20119.jpg,20119,7.196875
9892,../Mini Project/data/clean_data/train_imgs/9892.jpg,9892,8.362378
9893,../Mini Project/data/clean_data/train_imgs/9893.jpg,9893,8.475953
19227,../Mini Project/data/clean_data/train_imgs/19227.jpg,19227,8.192039999999999
19228,../Mini Project/data/clean_data/train_imgs/19228.jpg,19228,8.160293
9714,../Mini Project/data/clean_data/train_imgs/9714.jpg,9714,7.970252
9715,../Mini Project/data/clean_data/train_imgs/9715.jpg,9715,7.9316309999999985
11641,../Mini Project/data/clean_data/train_imgs/11641.jpg,11641,7.361641
11642,../Mini Project/data/clean_data/train_imgs/11642.jpg,11642,7.368349
10983,../Mini Project/data/clean_data/train_imgs/10983.jpg,10983,6.806907000000002
10984,../Mini Project/data/clean_data/train_imgs/10984.jpg,10984,6.786696000000001
9099,../Mini Project/data/clean_data/train_imgs/9099.jpg,9099,8.609083
9100,../Mini Project/data/clean_data/train_imgs/9100.jpg,9100,8.633692
944,../Mini Project/data/clean_data/train_imgs/944.jpg,944,19.692569
945,../Mini Project/data/clean_data/train_imgs/945.jpg,945,19.706398
13719,../Mini Project/data/clean_data/train_imgs/13719.jpg,13719,8.941133
13720,../Mini Project/data/clean_data/train_imgs/13720.jpg,13720,8.99873
732,../Mini Project/data/clean_data/train_imgs/732.jpg,732,20.871036
733,../Mini Project/data/clean_data/train_imgs/733.jpg,733,20.886284
4753,../Mini Project/data/clean_data/train_imgs/4753.jpg,4753,21.992886
4754,../Mini Project/data/clean_data/train_imgs/4754.jpg,4754,22.001997
12810,../Mini Project/data/clean_data/train_imgs/12810.jpg,12810,8.413619
12811,../Mini Project/data/clean_data/train_imgs/12811.jpg,12811,8.41245
14313,../Mini Project/data/clean_data/train_imgs/14313.jpg,14313,5.296451
14314,../Mini Project/data/clean_data/train_imgs/14314.jpg,14314,5.282637
42,../Mini Project/data/clean_data/train_imgs/42.jpg,42,27.493015000000003
43,../Mini Project/data/clean_data/train_imgs/43.jpg,43,27.487706
312,../Mini Project/data/clean_data/train_imgs/312.jpg,312,18.593645
313,../Mini Project/data/clean_data/train_imgs/313.jpg,313,18.517665
8186,../Mini Project/data/clean_data/train_imgs/8186.jpg,8186,25.99375
8187,../Mini Project/data/clean_data/train_imgs/8187.jpg,8187,25.988332
16266,../Mini Project/data/clean_data/train_imgs/16266.jpg,16266,11.927916
16267,../Mini Project/data/clean_data/train_imgs/16267.jpg,16267,11.898182
5936,../Mini Project/data/clean_data/train_imgs/5936.jpg,5936,15.601776
5937,../Mini Project/data/clean_data/train_imgs/5937.jpg,5937,15.519761
5516,../Mini Project/data/clean_data/train_imgs/5516.jpg,5516,22.291289000000006
